Campaign Name,Campaign Objective,Buying Type,Campaign Status,Campaign Daily Budget,Campaign Spending Limit,Ad Set Name,Ad Set Run Status,Ad Set Daily Budget,Conversion Location,Optimisation Goal,Pixel ID,Conversion Event,Locations,Age Min,Age Max,Genders,Languages,Custom Audience Excluded,Detailed Targeting,Placement Type,Conversion Window,Ad Name,Ad Status,Page ID,Body,Title,Description,Link,Display Link,Call to Action,Image Filename 1:1,Image Filename 4:5,Image Filename 9:16,URL Tags
4for99 - Leads - 2026-05,OUTCOME_LEADS,AUCTION,PAUSED,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4for99 - Leads - 2026-05,,,,,,01 - Cold - Local broad,PAUSED,7,WEBSITE,OFFSITE_CONVERSIONS,613073519035884,LEAD,"Wirral, GB; Liverpool, GB; Birkenhead, GB; Wallasey, GB; Bebington, GB; Heswall, GB; Chester, GB; Ellesmere Port, GB; Bromborough, GB; Neston, GB",30,65,All,English (UK),WEB - Submitted Lead 180d,,Automatic,7_DAY_CLICK_1_DAY_VIEW,,,,,,,,,,,,,
4for99 - Leads - 2026-05,,,,,,02 - Cold - Interests,PAUSED,7,WEBSITE,OFFSITE_CONVERSIONS,613073519035884,LEAD,"Wirral, GB; Liverpool, GB; Birkenhead, GB; Wallasey, GB; Bebington, GB; Heswall, GB; Chester, GB; Ellesmere Port, GB; Bromborough, GB; Neston, GB",30,65,All,English (UK),WEB - Submitted Lead 180d,Mrs Hinch; Cleaning; Home improvement; Pinterest; Dunelm; IKEA; B&M Bargains; Pet ownership; Dog; Cat; Parents (with young children); Engaged shoppers,Automatic,7_DAY_CLICK_1_DAY_VIEW,,,,,,,,,,,,,
4for99 - Leads - 2026-05,,,,,,03 - Retargeting - Visited 30d,PAUSED,4,WEBSITE,OFFSITE_CONVERSIONS,613073519035884,LEAD,"Wirral, GB; Liverpool, GB; Birkenhead, GB; Wallasey, GB; Bebington, GB; Heswall, GB; Chester, GB; Ellesmere Port, GB; Bromborough, GB; Neston, GB",30,65,All,English (UK),WEB - Submitted Lead 180d,,Automatic,7_DAY_CLICK_1_DAY_VIEW,,,,,,,,,,,,,
4for99 - Leads - 2026-05,,,,,,04 - WhatsApp - Cold,PAUSED,5,MESSAGING_APPS,CONVERSATIONS,613073519035884,LEAD,"Wirral, GB; Liverpool, GB; Birkenhead, GB; Wallasey, GB; Bebington, GB; Heswall, GB; Chester, GB; Ellesmere Port, GB; Bromborough, GB; Neston, GB",30,65,All,English (UK),WEB - Submitted Lead 180d,Mrs Hinch; Cleaning; Home improvement; Pinterest; Dunelm; IKEA; B&M Bargains; Pet ownership; Dog; Cat; Parents (with young children); Engaged shoppers,Automatic,7_DAY_CLICK_1_DAY_VIEW,,,,,,,,,,,,,
4for99 - Leads - 2026-05,,,,,,01 - Cold - Local broad,,,,,,,,,,,,,,,,A - Hero card,PAUSED,,"Kids, dogs and red wine? Your carpets have been through it. 🐾

We deep-clean 4 carpets — lounge, hallway, stairs, bedroom, you pick — for just £99 (normally £160).

✅ Hot-water extraction (the proper deep clean, not a wet hoover)
✅ Stains, pet smells & allergens lifted
✅ Dry in 2–4 hours, not days
✅ If you're not thrilled, we re-clean it FREE

Covering Wirral, Liverpool & Cheshire. 4.9★ from 2,400+ local families.

👇 Tap below to grab a slot — only 7 left this week.",4 Carpets Cleaned for £99,Was £160 · Save 38% this week,https://www.freshforlesscarpetcleaning.co.uk/4for99/,freshforlesscarpetcleaning.co.uk,BOOK_NOW,4for99_A_hero_1x1.png,4for99_A_hero_4x5.png,4for99_A_hero_9x16.png,utm_source=facebook&utm_medium=cpc&utm_campaign=4for99&utm_content=A_hero
4for99 - Leads - 2026-05,,,,,,01 - Cold - Local broad,,,,,,,,,,,,,,,,B - Offer stack,PAUSED,,"4 carpets. Professionally cleaned. £99.

That's it. No hidden fees, no upsells at the door, no ""from"" prices that turn into £180 by the time the kit comes out the van.

What you get for your £99:
• 4 carpets — your choice
• Industrial hot-water extraction
• Pre-treatment of stains & high-traffic areas
• Deodorising treatment included
• Carpets dry in 2–4 hours
• 100% satisfaction guarantee

Was £160. Now £99. This price is only for bookings made this week.

📞 0330 043 4811 or tap Book Now.",£99 — Was £160 (Save 38%),"4 carpets, no hidden fees",https://www.freshforlesscarpetcleaning.co.uk/4for99/,freshforlesscarpetcleaning.co.uk,BOOK_NOW,4for99_B_offer_1x1.png,4for99_B_offer_4x5.png,4for99_B_offer_9x16.png,utm_source=facebook&utm_medium=cpc&utm_campaign=4for99&utm_content=B_offer
4for99 - Leads - 2026-05,,,,,,01 - Cold - Local broad,,,,,,,,,,,,,,,,C - Reviews,PAUSED,,"""Absolutely gobsmacked at the difference. Our living room carpet looked brand new — even the red wine stain from Christmas is gone!""
— Sarah T., Wirral ★★★★★

We've deep-cleaned 2,400+ carpets across Merseyside & Cheshire, and right now 4 of yours can be next — for £99 (normally £160).

Hot-water extraction, deodorising, stain pre-treatment, and a 2–4hr dry time so you're not living in a damp house all weekend.

If you're not thrilled, we come back and re-clean for free. Simple as that.

Tap to grab one of this week's slots.",4.9★ Carpet Clean — Just £99,"2,400+ happy local families",https://www.freshforlesscarpetcleaning.co.uk/4for99/,freshforlesscarpetcleaning.co.uk,BOOK_NOW,4for99_C_reviews_1x1.png,4for99_C_reviews_4x5.png,4for99_C_reviews_9x16.png,utm_source=facebook&utm_medium=cpc&utm_campaign=4for99&utm_content=C_reviews
4for99 - Leads - 2026-05,,,,,,02 - Cold - Interests,,,,,,,,,,,,,,,,A - Hero card,PAUSED,,"Kids, dogs and red wine? Your carpets have been through it. 🐾

We deep-clean 4 carpets — lounge, hallway, stairs, bedroom, you pick — for just £99 (normally £160).

✅ Hot-water extraction (the proper deep clean, not a wet hoover)
✅ Stains, pet smells & allergens lifted
✅ Dry in 2–4 hours, not days
✅ If you're not thrilled, we re-clean it FREE

Covering Wirral, Liverpool & Cheshire. 4.9★ from 2,400+ local families.

👇 Tap below to grab a slot — only 7 left this week.",4 Carpets Cleaned for £99,Was £160 · Save 38% this week,https://www.freshforlesscarpetcleaning.co.uk/4for99/,freshforlesscarpetcleaning.co.uk,BOOK_NOW,4for99_A_hero_1x1.png,4for99_A_hero_4x5.png,4for99_A_hero_9x16.png,utm_source=facebook&utm_medium=cpc&utm_campaign=4for99&utm_content=A_hero
4for99 - Leads - 2026-05,,,,,,02 - Cold - Interests,,,,,,,,,,,,,,,,B - Offer stack,PAUSED,,"4 carpets. Professionally cleaned. £99.

That's it. No hidden fees, no upsells at the door, no ""from"" prices that turn into £180 by the time the kit comes out the van.

What you get for your £99:
• 4 carpets — your choice
• Industrial hot-water extraction
• Pre-treatment of stains & high-traffic areas
• Deodorising treatment included
• Carpets dry in 2–4 hours
• 100% satisfaction guarantee

Was £160. Now £99. This price is only for bookings made this week.

📞 0330 043 4811 or tap Book Now.",£99 — Was £160 (Save 38%),"4 carpets, no hidden fees",https://www.freshforlesscarpetcleaning.co.uk/4for99/,freshforlesscarpetcleaning.co.uk,BOOK_NOW,4for99_B_offer_1x1.png,4for99_B_offer_4x5.png,4for99_B_offer_9x16.png,utm_source=facebook&utm_medium=cpc&utm_campaign=4for99&utm_content=B_offer
4for99 - Leads - 2026-05,,,,,,02 - Cold - Interests,,,,,,,,,,,,,,,,C - Reviews,PAUSED,,"""Absolutely gobsmacked at the difference. Our living room carpet looked brand new — even the red wine stain from Christmas is gone!""
— Sarah T., Wirral ★★★★★

We've deep-cleaned 2,400+ carpets across Merseyside & Cheshire, and right now 4 of yours can be next — for £99 (normally £160).

Hot-water extraction, deodorising, stain pre-treatment, and a 2–4hr dry time so you're not living in a damp house all weekend.

If you're not thrilled, we come back and re-clean for free. Simple as that.

Tap to grab one of this week's slots.",4.9★ Carpet Clean — Just £99,"2,400+ happy local families",https://www.freshforlesscarpetcleaning.co.uk/4for99/,freshforlesscarpetcleaning.co.uk,BOOK_NOW,4for99_C_reviews_1x1.png,4for99_C_reviews_4x5.png,4for99_C_reviews_9x16.png,utm_source=facebook&utm_medium=cpc&utm_campaign=4for99&utm_content=C_reviews
4for99 - Leads - 2026-05,,,,,,03 - Retargeting - Visited 30d,,,,,,,,,,,,,,,,D - Urgency,PAUSED,,"Still thinking about it? 👀

Your 4-carpet £99 deal is still available — but only 7 slots left this week before we have to bump the price back to £160.

If you're going to do it, do it now. Takes 60 seconds.

📞 0330 043 4811 or tap below.",Last few £99 slots left,Lock in before price goes back up,https://www.freshforlesscarpetcleaning.co.uk/4for99/,freshforlesscarpetcleaning.co.uk,BOOK_NOW,4for99_D_urgency_1x1.png,4for99_D_urgency_4x5.png,4for99_D_urgency_9x16.png,utm_source=facebook&utm_medium=cpc&utm_campaign=4for99&utm_content=D_urgency
4for99 - Leads - 2026-05,,,,,,04 - WhatsApp - Cold,,,,,,,,,,,,,,,,E - WhatsApp,PAUSED,,"Don't fancy filling in a form? 💬

Just message us on WhatsApp — tell us how many carpets, where you are, and we'll get you booked in for the £99 deal in under 5 minutes.

✅ 4 carpets professionally cleaned — £99 (was £160)
✅ Hot-water extraction · stains, pet smells & allergens out
✅ Dry in 2–4 hours
✅ 4.9★ from 2,400+ Wirral & Cheshire families

Tap ""Send Message"" below — we usually reply within minutes.",Message us on WhatsApp 💬,"4 carpets, £99 — booked in 5 mins",https://wa.me/447479921066,freshforlesscarpetcleaning.co.uk,WHATSAPP_MESSAGE,4for99_A_hero_1x1.png,4for99_A_hero_4x5.png,4for99_A_hero_9x16.png,utm_source=facebook&utm_medium=cpc&utm_campaign=4for99&utm_content=E_whatsapp
